screenward_offset_mm,intersection_mm3
18,0.0
17,0.0
16,0.0
15,0.0
14,0.0
13,80.48441546005866
12,281.6951662759175
11,482.90591709177625
10,3629.9582377879706
9,12248.019132626927
8,12709.09877803833
7,12709.098778027887
6,12701.178761858435
5,12696.858759525052
4,12548.1301389737
3,12346.919388180891
2,12145.708637379612
1,5631.919469843633
0,0.0
